date,irl
2003-02-12,[[0.16422838]]
2003-02-13,[[0.37625933]]
2003-02-14,[[0.16593131]]
2003-02-18,[[0.1621713]]
2003-02-19,[[0.43505523]]
2003-02-20,[[0.16964906]]
2003-02-21,[[0.16599658]]
2003-02-24,[[0.1616861]]
2003-02-25,[[0.17333293]]
2003-02-26,[[0.17759064]]
2003-02-27,[[0.17425519]]
2003-02-28,[[0.17624062]]
2003-03-03,[[0.17917752]]
2003-03-04,[[0.17887396]]
2003-03-05,[[0.1717304]]
2003-03-06,[[0.179622]]
2003-03-07,[[0.12593496]]
2003-03-10,[[0.18190992]]
2003-03-11,[[0.18088534]]
2003-03-12,[[0.17414355]]
2003-03-13,[[0.17559114]]
2003-03-14,[[0.17372456]]
2003-03-17,[[0.17357257]]
2003-03-18,[[0.17327133]]
2003-03-19,[[0.4370725]]
2003-03-20,[[0.17043507]]
2003-03-21,[[0.1702711]]
2003-03-24,[[0.1715217]]
2003-03-25,[[0.34405756]]
2003-03-26,[[0.40660998]]
2003-03-27,[[0.16783151]]
2003-03-28,[[0.16946974]]
2003-03-31,[[0.1657235]]
2003-04-01,[[0.16609123]]
2003-04-02,[[0.25609377]]
2003-04-03,[[0.17147896]]
2003-04-04,[[0.35094061]]
2003-04-07,[[0.1669437]]
2003-04-08,[[0.32588565]]
2003-04-09,[[0.36184108]]
2003-04-10,[[0.35854706]]
2003-04-11,[[0.16523525]]
